timestamp,probability_gt_threshold,confidence,betting_action,risk_level,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,reason,model_type
2025-12-15T21:11:17.648692,0.5952,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,5.29,100.0,54500.0,54600.0,Moderate probability: 59.52% with confidence 54.68%,bayesian_sequence
2025-12-15T21:11:40.763296,0.5702,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.82,-100.0,54600.0,54500.0,Moderate probability: 57.02% with confidence 54.68%,bayesian_sequence
2025-12-15T21:23:23.229162,0.5594,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,5.44,100.0,54500.0,54600.0,Moderate probability: 55.94% with confidence 54.68%,bayesian_sequence
2025-12-15T21:23:59.013879,0.5767,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,7.08,100.0,54600.0,54700.0,Moderate probability: 57.67% with confidence 54.68%,bayesian_sequence
2025-12-15T21:24:47.712229,0.6158,54.67999999999999,BET,LOW,2.0,100.0,completed,win,22.45,100.0,54700.0,54800.0,High probability: 61.58% with confidence 54.68%,bayesian_sequence
2025-12-15T21:25:13.839585,0.6303,54.67999999999999,BET,LOW,2.0,100.0,completed,win,3.09,100.0,54800.0,54900.0,High probability: 63.03% with confidence 54.68%,bayesian_sequence
2025-12-15T21:25:37.575166,0.6667,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.16,100.0,54900.0,55000.0,High probability: 66.67% with confidence 54.68%,bayesian_sequence
2025-12-15T21:25:58.478236,0.6786,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.46,100.0,55000.0,55100.0,High probability: 67.86% with confidence 54.68%,bayesian_sequence
2025-12-15T21:26:12.654725,0.6494,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.08,-100.0,55100.0,55000.0,High probability: 64.94% with confidence 54.68%,bayesian_sequence
2025-12-15T21:26:47.674378,0.6622,54.67999999999999,BET,LOW,2.0,100.0,completed,win,7.62,100.0,55000.0,55100.0,High probability: 66.22% with confidence 54.68%,bayesian_sequence
2025-12-15T21:27:16.733703,0.6744,54.67999999999999,BET,LOW,2.0,100.0,completed,win,3.21,100.0,55100.0,55200.0,High probability: 67.44% with confidence 54.68%,bayesian_sequence
2025-12-15T21:27:42.523580,0.7085,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.91,100.0,55200.0,55300.0,High probability: 70.85% with confidence 54.68%,bayesian_sequence
2025-12-15T21:28:06.660357,0.7184,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.08,100.0,55300.0,55400.0,High probability: 71.84% with confidence 54.68%,bayesian_sequence
2025-12-15T21:28:35.730007,0.7504,54.67999999999999,BET,LOW,2.0,100.0,completed,win,4.49,100.0,55400.0,55500.0,High probability: 75.04% with confidence 54.68%,bayesian_sequence
2025-12-15T21:29:22.757338,0.7808,54.67999999999999,BET,LOW,2.0,100.0,completed,win,17.95,100.0,55500.0,55600.0,High probability: 78.08% with confidence 54.68%,bayesian_sequence
2025-12-15T21:29:43.024336,0.7465,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.77,-100.0,55600.0,55500.0,High probability: 74.65% with confidence 54.68%,bayesian_sequence
2025-12-15T21:30:28.529774,0.7544,54.67999999999999,BET,LOW,2.0,100.0,completed,win,14.59,100.0,55500.0,55600.0,High probability: 75.44% with confidence 54.68%,bayesian_sequence
2025-12-15T21:30:44.912000,0.7214,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.06,-100.0,55600.0,55500.0,High probability: 72.14% with confidence 54.68%,bayesian_sequence
2025-12-15T21:31:02.880546,0.6901,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.67,-100.0,55500.0,55400.0,High probability: 69.01% with confidence 54.68%,bayesian_sequence
2025-12-15T21:31:20.461614,0.6377,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.38,-100.0,55400.0,55300.0,High probability: 63.77% with confidence 54.68%,bayesian_sequence
2025-12-15T21:31:47.098882,0.651,54.67999999999999,BET,LOW,2.0,100.0,completed,win,3.32,100.0,55300.0,55400.0,High probability: 65.10% with confidence 54.68%,bayesian_sequence
2025-12-15T21:32:02.283295,0.6006,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.14,-100.0,55400.0,55300.0,High probability: 60.06% with confidence 54.68%,bayesian_sequence
2025-12-15T21:32:37.801410,0.6158,54.67999999999999,BET,LOW,2.0,100.0,completed,win,7.55,100.0,55300.0,55400.0,High probability: 61.58% with confidence 54.68%,bayesian_sequence
2025-12-15T21:32:56.015649,0.5671,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.54,-100.0,55400.0,55300.0,Moderate probability: 56.71% with confidence 54.68%,bayesian_sequence
2025-12-15T21:33:30.787933,0.584,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,4.72,100.0,55300.0,55400.0,Moderate probability: 58.40% with confidence 54.68%,bayesian_sequence
