timestamp,predicted_value,min_range,max_range,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,input_sequence
2025-12-14T02:56:36.271889,6.14,2.18,10.1,2.18,100.0,completed,win,4.11,118.00000000000001,49997.0,50115.0,"[1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78]"
2025-12-14T02:57:04.173075,6.21,2.25,10.17,2.25,100.0,completed,win,6.7,125.0,50115.0,50240.0,"[1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11]"
2025-12-14T02:57:39.106945,6.22,2.26,10.18,2.26,100.0,completed,loss,1.06,-100.0,50240.0,50140.0,"[3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7]"
2025-12-14T02:57:48.746150,6.14,2.18,10.1,2.18,100.0,completed,win,5.44,118.00000000000001,50140.0,50258.0,"[1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06]"
2025-12-14T02:58:18.852062,6.12,2.16,10.08,2.16,100.0,completed,loss,2.1,-100.0,50258.0,50158.0,"[4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06, 5.44]"
2025-12-14T02:58:39.320507,6.14,2.18,10.1,2.18,100.0,completed,loss,1.98,-100.0,50158.0,50058.0,"[2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06, 5.44, 2.1]"
2025-12-14T02:58:57.308539,6.06,2.1,10.02,2.1,100.0,completed,win,3.47,110.00000000000001,50058.0,50168.0,"[18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06, 5.44, 2.1, 1.98]"
2025-12-14T02:59:23.750985,6.14,2.18,10.1,2.18,100.0,completed,loss,1.12,-100.0,50168.0,50068.0,"[2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06, 5.44, 2.1, 1.98, 3.47]"
2025-12-14T02:59:37.462665,6.15,2.19,10.1,2.19,100.0,completed,win,2.72,119.0,50068.0,50187.0,"[6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06, 5.44, 2.1, 1.98, 3.47, 1.12]"
2025-12-14T02:59:58.079690,6.11,2.15,10.07,2.15,100.0,completed,win,12.3,114.99999999999999,50187.0,50302.0,"[1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06, 5.44, 2.1, 1.98, 3.47, 1.12, 2.72]"
2025-12-14T03:00:40.407326,6.18,2.22,10.14,2.22,100.0,completed,loss,1.21,-100.0,50302.0,50202.0,"[2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44, 1.78, 4.11, 6.7, 1.06, 5.44, 2.1, 1.98, 3.47, 1.12, 2.72, 12.3]"
